Wavenumbers,Water,Wavenumbers,Potato (raw tuber),Wavenumbers,"Potato (raw tuber, fingerprint region)",Wavenumbers,Water (fingerprint region),Wavenumbers,"Coffee (Arabica extract, freeze-dried, DRIFT sampling, fingerprint region)",Wavenumbers,"Coffee (Robusta extract, freeze-dried, DRIFT sampling, fingerprint region)",Wavenumbers,Red Wine (Australian Cabernet Sauvignon),Wavenumbers,Ethanol,Wavenumbers,"Amylose (type III, from potato)",Wavenumbers,Amylopectin (from potato),Wavenumbers,"Amylose (type III, from potato, fingerprint region)",Wavenumbers,"Amylopectin (from potato, fingerprint region)",Wavenumbers,Ham,Wavenumbers,"Olive oil (extra virgin, Greek)",Wavenumbers,"Olive oil (extra virgin, Greek)",Wavenumbers,"Olive oil (extra virgin, Greek)",Wavenumbers,"Chicken, fresh raw minced",Wavenumbers,"Pork, fresh raw minced",Wavenumbers,"Turkey, fresh raw minced",Wavenumbers,Grapeseed Oil,Wavenumbers,Grapeseed Oil,Wavenumbers,Groundnut oil,Wavenumbers,Groundnut oil,Wavenumbers,Walnut oil,Wavenumbers,Walnut oil,Wavenumbers,Rice bran oil,Wavenumbers,Rice bran oil,Wavenumbers,Corn oil,Wavenumbers,Corn oil,Wavenumbers,Extra Virgin Avocado Oil,Wavenumbers,Extra Virgin Avocado Oil,Wavenumbers,Rapeseed oil,Wavenumbers,Rapeseed oil,Wavenumbers,Sunflower Oil,Wavenumbers,Sunflower Oil,Wavenumbers,Toasted sesame oil,Wavenumbers,Toasted sesame oil,Wavenumbers,Hemp oil,Wavenumbers,Hemp oil,Wavenumbers,Hazelnut oil,Wavenumbers,Hazelnut oil,Wavenumbers,Soya oil,Wavenumbers,Soya oil,Wavenumbers,Sweet almond oil,Wavenumbers,Sweet almond oil,Wavenumbers,Coconut oil,Wavenumbers,Coconut oil,Wavenumbers,Lard,Wavenumbers,Lard,Wavenumbers,Vegetable fat,Wavenumbers,Vegetable fat,Wavenumbers,Caffeine (powder),Wavenumbers,Coffee - Ground roast robusta beans,Wavenumbers,Coffee - Ground roast blend - Decaffeinated
604.584300,0.490828,604.584300,0.526186,604.584300,0.526186,604.584300,0.490828,849.148000,17.636301,849.148000,9.715180,937.927000,0.708995,937.927000,-0.008583,604.584300,0.322993,604.584300,0.448135,604.584300,0.322993,604.584300,0.448135,805.148200,0.209765,818.187000,0.148192,604.584300,0.021504,604.584300,0.021504,1024.644500,0.424939,1024.644500,0.528202104,1024.644500,0.531982259,604.58430000,0.03233591,604.58430000,0.03233591,604.58430000,0.02598316,604.58430000,0.02598316,604.584300,0.036388,604.584300,0.036388,604.584300,0.026957,604.584300,0.026957,604.584300,0.031493,604.584300,0.031493,604.584300,0.024358,604.584300,0.024358,604.584300,0.027144,604.584300,0.027144,604.584300,0.030471,604.584300,0.030471,604.584300,0.029652,604.584300,0.029652,604.584300,0.036609,604.584300,0.036609,604.584300,0.024893,604.584300,0.024893,604.584300,0.032075,604.584300,0.032075,604.584300,0.027249,604.584300,0.027249,604.58430,0.01948,604.58430,0.01948,604.584300,0.020447,604.584300,0.020447,604.584300,0.024843,604.584300,0.024843,937.927,0.052583865,795.023500,0.142535,795.023500,0.155362
605.066400,0.489976,605.066400,0.525615,605.066400,0.525615,605.066400,0.489976,853.008000,18.030802,853.008000,9.706523,941.787000,0.692104,941.787000,-0.007734,605.066400,0.323496,605.066400,0.448620,605.066400,0.323496,605.066400,0.448620,805.630300,0.209141,820.116500,0.149937,605.066400,0.021374,605.066400,0.021374,1026.574000,0.426531,1026.574000,0.530250501,1026.574000,0.533234669,605.06640000,0.03244737,605.06640000,0.03244737,605.06640000,0.02597440,605.06640000,0.02597440,605.066400,0.036000,605.066400,0.036000,605.066400,0.026681,605.066400,0.026681,605.066400,0.031462,605.066400,0.031462,605.066400,0.024430,605.066400,0.024430,605.066400,0.027184,605.066400,0.027184,605.066400,0.030371,605.066400,0.030371,605.066400,0.029349,605.066400,0.029349,605.066400,0.036492,605.066400,0.036492,605.066400,0.024881,605.066400,0.024881,605.066400,0.031912,605.066400,0.031912,605.066400,0.027236,605.066400,0.027236,605.06640,0.01942,605.06640,0.01942,605.066400,0.020357,605.066400,0.020357,605.066400,0.024789,605.066400,0.024789,941.787,0.051607666,795.505700,0.142835,795.505700,0.155918
605.548600,0.489330,605.548600,0.525763,605.548600,0.525763,605.548600,0.489330,856.867000,18.234747,856.867000,9.734204,945.647000,0.676195,945.647000,-0.007690,605.548600,0.324222,605.548600,0.449371,605.548600,0.324222,605.548600,0.449371,806.112400,0.208521,822.046000,0.152373,605.548600,0.021264,605.548600,0.021264,1028.503500,0.428649,1028.503500,0.533027761,1028.503500,0.535217708,605.54860000,0.03258978,605.54860000,0.03258978,605.54860000,0.02593276,605.54860000,0.02593276,605.548600,0.035698,605.548600,0.035698,605.548600,0.026424,605.548600,0.026424,605.548600,0.031392,605.548600,0.031392,605.548600,0.024331,605.548600,0.024331,605.548600,0.027271,605.548600,0.027271,605.548600,0.030310,605.548600,0.030310,605.548600,0.029075,605.548600,0.029075,605.548600,0.036364,605.548600,0.036364,605.548600,0.024776,605.548600,0.024776,605.548600,0.031712,605.548600,0.031712,605.548600,0.027109,605.548600,0.027109,605.54860,0.01937,605.54860,0.01937,605.548600,0.020195,605.548600,0.020195,605.548600,0.024707,605.548600,0.024707,945.647,0.050959626,795.987800,0.143053,795.987800,0.156396
606.030700,0.488864,606.030700,0.526520,606.030700,0.526520,606.030700,0.488864,860.727000,18.275447,860.727000,9.586975,949.507000,0.661234,949.507000,-0.008244,606.030700,0.325082,606.030700,0.450205,606.030700,0.325082,606.030700,0.450205,806.594500,0.207907,823.975500,0.155050,606.030700,0.021145,606.030700,0.021145,1030.433000,0.431465,1030.433000,0.535708613,1030.433000,0.538054314,606.03070000,0.03270373,606.03070000,0.03270373,606.03070000,0.02587166,606.03070000,0.02587166,606.030700,0.035507,606.030700,0.035507,606.030700,0.026213,606.030700,0.026213,606.030700,0.031281,606.030700,0.031281,606.030700,0.024036,606.030700,0.024036,606.030700,0.027389,606.030700,0.027389,606.030700,0.030263,606.030700,0.030263,606.030700,0.028810,606.030700,0.028810,606.030700,0.036232,606.030700,0.036232,606.030700,0.024541,606.030700,0.024541,606.030700,0.031501,606.030700,0.031501,606.030700,0.026873,606.030700,0.026873,606.03070,0.01940,606.03070,0.01940,606.030700,0.019974,606.030700,0.019974,606.030700,0.024612,606.030700,0.024612,949.507,0.050996058,796.469900,0.143224,796.469900,0.156747
606.512800,0.488428,606.512800,0.527598,606.512800,0.527598,606.512800,0.488428,864.587000,17.653334,864.587000,9.273962,953.367000,0.647194,953.367000,-0.007793,606.512800,0.325917,606.512800,0.450837,606.512800,0.325917,606.512800,0.450837,807.076700,0.207297,825.905000,0.157988,606.512800,0.021005,606.512800,0.021005,1032.362500,0.434958,1032.362500,0.538121237,1032.362500,0.541227965,606.51280000,0.03274063,606.51280000,0.03274063,606.51280000,0.02580046,606.51280000,0.02580046,606.512800,0.035428,606.512800,0.035428,606.512800,0.026053,606.512800,0.026053,606.512800,0.031136,606.512800,0.031136,606.512800,0.023580,606.512800,0.023580,606.512800,0.027503,606.512800,0.027503,606.512800,0.030186,606.512800,0.030186,606.512800,0.028539,606.512800,0.028539,606.512800,0.036095,606.512800,0.036095,606.512800,0.024166,606.512800,0.024166,606.512800,0.031293,606.512800,0.031293,606.512800,0.026548,606.512800,0.026548,606.51280,0.01958,606.51280,0.01958,606.512800,0.019701,606.512800,0.019701,606.512800,0.024536,606.512800,0.024536,953.367,0.052031983,796.952000,0.143401,796.952000,0.156976
606.994900,0.487852,606.994900,0.528646,606.994900,0.528646,606.994900,0.487852,868.447000,16.703171,868.447000,8.976468,957.227000,0.634005,957.227000,-0.007685,606.994900,0.326553,606.994900,0.450987,606.994900,0.326553,606.994900,0.450987,807.558800,0.206688,827.834500,0.160809,606.994900,0.020860,606.994900,0.020860,1034.292000,0.438740,1034.292000,0.541280457,1034.292000,0.544138423,606.99490000,0.03267176,606.99490000,0.03267176,606.99490000,0.02571924,606.99490000,0.02571924,606.994900,0.035441,606.994900,0.035441,606.994900,0.025933,606.994900,0.025933,606.994900,0.030975,606.994900,0.030975,606.994900,0.023050,606.994900,0.023050,606.994900,0.027569,606.994900,0.027569,606.994900,0.030036,606.994900,0.030036,606.994900,0.028263,606.994900,0.028263,606.994900,0.035955,606.994900,0.035955,606.994900,0.023671,606.994900,0.023671,606.994900,0.031094,606.994900,0.031094,606.994900,0.026167,606.994900,0.026167,606.99490,0.01994,606.99490,0.01994,606.994900,0.019380,606.994900,0.019380,606.994900,0.024513,606.994900,0.024513,957.227,0.052717061,797.434100,0.143633,797.434100,0.157138
607.477100,0.487064,607.477100,0.529385,607.477100,0.529385,607.477100,0.487064,872.307000,16.237540,872.307000,8.878336,961.087000,0.622221,961.087000,-0.007880,607.477100,0.326884,607.477100,0.450507,607.477100,0.326884,607.477100,0.450507,808.040900,0.206083,829.764000,0.163800,607.477100,0.020746,607.477100,0.020746,1036.221500,0.442308,1036.221500,0.544413179,1036.221500,0.547526178,607.47710000,0.03249886,607.47710000,0.03249886,607.47710000,0.02561199,607.47710000,0.02561199,607.477100,0.035520,607.477100,0.035520,607.477100,0.025832,607.477100,0.025832,607.477100,0.030819,607.477100,0.030819,607.477100,0.022545,607.477100,0.022545,607.477100,0.027543,607.477100,0.027543,607.477100,0.029779,607.477100,0.029779,607.477100,0.027989,607.477100,0.027989,607.477100,0.035814,607.477100,0.035814,607.477100,0.023103,607.477100,0.023103,607.477100,0.030901,607.477100,0.030901,607.477100,0.025761,607.477100,0.025761,607.47710,0.02045,607.47710,0.02045,607.477100,0.019009,607.477100,0.019009,607.477100,0.024560,607.477100,0.024560,961.087,0.053303995,797.916300,0.143952,797.916300,0.157316
607.959200,0.486149,607.959200,0.529691,607.959200,0.529691,607.959200,0.486149,876.167000,16.183836,876.167000,8.880218,964.947000,0.611918,964.947000,-0.006642,607.959200,0.326904,607.959200,0.449446,607.959200,0.326904,607.959200,0.449446,808.523000,0.205489,831.693500,0.167250,607.959200,0.020712,607.959200,0.020712,1038.151000,0.446052,1038.151000,0.546844148,1038.151000,0.551253388,607.95920000,0.03224829,607.95920000,0.03224829,607.95920000,0.02545112,607.95920000,0.02545112,607.959200,0.035632,607.959200,0.035632,607.959200,0.025732,607.959200,0.025732,607.959200,0.030686,607.959200,0.030686,607.959200,0.022142,607.959200,0.022142,607.959200,0.027394,607.959200,0.027394,607.959200,0.029414,607.959200,0.029414,607.959200,0.027731,607.959200,0.027731,607.959200,0.035687,607.959200,0.035687,607.959200,0.022529,607.959200,0.022529,607.959200,0.030713,607.959200,0.030713,607.959200,0.025357,607.959200,0.025357,607.95920,0.02105,607.95920,0.02105,607.959200,0.018590,607.959200,0.018590,607.959200,0.024665,607.959200,0.024665,964.947,0.053953526,798.398400,0.144360,798.398400,0.157599
608.441300,0.485330,608.441300,0.529612,608.441300,0.529612,608.441300,0.485330,880.027000,16.458318,880.027000,8.784986,968.807000,0.603042,968.807000,-0.005255,608.441300,0.326697,608.441300,0.448023,608.441300,0.326697,608.441300,0.448023,809.005200,0.204913,833.623000,0.170812,608.441300,0.020786,608.441300,0.020786,1040.081500,0.450194,1040.081500,0.548901309,1040.081500,0.554587671,608.44130000,0.03196381,608.44130000,0.03196381,608.44130000,0.02520634,608.44130000,0.02520634,608.441300,0.035744,608.441300,0.035744,608.441300,0.025626,608.441300,0.025626,608.441300,0.030587,608.441300,0.030587,608.441300,0.021869,608.441300,0.021869,608.441300,0.027117,608.441300,0.027117,608.441300,0.028974,608.441300,0.028974,608.441300,0.027502,608.441300,0.027502,608.441300,0.035593,608.441300,0.035593,608.441300,0.022015,608.441300,0.022015,608.441300,0.030527,608.441300,0.030527,608.441300,0.024978,608.441300,0.024978,608.44130,0.02162,608.44130,0.02162,608.441300,0.018139,608.441300,0.018139,608.441300,0.024787,608.441300,0.024787,968.807,0.055277536,798.880500,0.144834,798.880500,0.158053
608.923400,0.484843,608.923400,0.529295,608.923400,0.529295,608.923400,0.484843,883.887000,16.580462,883.887000,8.796437,972.667000,0.595239,972.667000,-0.004309,608.923400,0.326368,608.923400,0.446525,608.923400,0.326368,608.923400,0.446525,809.487300,0.204360,835.552500,0.174319,608.923400,0.020968,608.923400,0.020968,1042.011000,0.453534,1042.011000,0.551126011,1042.011000,0.557092931,608.92340000,0.03168821,608.92340000,0.03168821,608.92340000,0.02485506,608.92340000,0.02485506,608.923400,0.035820,608.923400,0.035820,608.923400,0.025523,608.923400,0.025523,608.923400,0.030515,608.923400,0.030515,608.923400,0.021710,608.923400,0.021710,608.923400,0.026730,608.923400,0.026730,608.923400,0.028524,608.923400,0.028524,608.923400,0.027304,608.923400,0.027304,608.923400,0.035549,608.923400,0.035549,608.923400,0.021607,608.923400,0.021607,608.923400,0.030346,608.923400,0.030346,608.923400,0.024645,608.923400,0.024645,608.92340,0.02203,608.92340,0.02203,608.923400,0.017700,608.923400,0.017700,608.923400,0.024874,608.923400,0.024874,972.667,0.057699295,799.362700,0.145343,799.362700,0.158707
